Author	Book Title	ISBN	Year Level
Aaron, Moses	Lily and Me	9780091830311	7-8
Aaron, Moses (reteller); Mackintosh, David (ill.)	The Duck Catcher	9780733412882	EC-2
Abdel-Fattah, Randa	Does My Head Look Big in This?	978-0-330-42185-0	9-10
Abdel-Fattah, Randa	Jodie	978-1-74299-010-1	5-6
Abdel-Fattah, Randa	Noah's Law	9781742624280	9-10
Abdel-Fattah, Randa	Rania	9781742990188	5-6
Abdel-Fattah, Randa	The Friendship Matchmaker	978-1-86291-920-4	5-6, 7-8
Abdel-Fattah, Randa	The Friendship Matchmaker Goes Undercover	9781862919488	5-6, 7-8
Abdel-Fattah, Randa	Where the Streets Had a Name	978-0-330-42526-1	9-10
Abdulla, Ian	As I Grew Older	978-1-86291-183-3	5-6
Abdulla, Ian	Tucker	978-1-86291-206-9	5-6
Abela, Deborah	Ghost Club series		5-6
Abela, Deborah	Grimsdon	9781741663723	5-6
Abela, Deborah	In Search of the Time and Space Machine	978-1-74051-765-2	5-6, 7-8
Abela, Deborah	Max Remy Super Spy series		5-6, 7-8
Abela, Deborah	New City	9781742758558	5-6, 7-8
Abela, Deborah	Teresa	9781742990941	5-6, 7-8
Abela, Deborah	The Remarkable Secret of Aurelie Bonhoffen	9781741660951	5-6
Abela, Deborah; Warren, Johnny	Jasper Zammit Soccer Legend series		5-6, 7-8
Abrahams, Peter	Behind the Curtain	978-1-4063-0029-1	9-10
Abrahams, Peter	Down the Rabbit Hole	978-1-4063-0028-4	9-10
Abrahams, Peter	Into The Dark	9780060737108	9-10
Abramson, Ruth	The Cresta Adventure	978-0-87306-493-4	3-4
Acton, Sara	Ben Duck	9781741699142	EC-2
Acton, Sara	Hold on Tight	9781742833491	EC-2
Acton, Sara	Poppy Cat	9781743620168	EC-2
Acton, Sara	As Big As You	9781743629697	EC-2
Adams, Douglas	Life, the Universe and Everything	978-0-330-26738-0	9-10
Adams, Douglas	Mostly Harmless	978-0-330-32311-6	9-10
Adams, Douglas	So Long and Thanks for All the Fish	978-0-330-28700-5	9-10
Adams, Douglas	The Hitchhiker's Guide to the Galaxy	978-0-330-49119-8	9-10
Adams, Douglas	The Restaurant at the End of the Universe	978-0-330-26213-2	9-10
Adams, Jeanie	Pigs and Honey	978-1-86388-046-6	5-6
Adams, Jessica	Kids Night In 3: A Sea of Stories and Oceans of Other Stuff	978-0-14-330445-6	5-6
Adams, Jessica; Basini, Helen; Earls, Nick	Kids' Night In 2: A Feast of Stories	978-0-14-330016-8	5-6
Adams, Jessica; Partridge, Juliet; Earls, Nick	Kid's Night In!	978-0-14-330058-8	9-10
Adams, Michael	The Last Girl	9781743316368	9-10
Adams, Michael	The Last Place	9781743316740	9-10
Adams, Michael	The Last Shot	9781743316733	9-10
Adams, Pam	Mrs Honey's series		EC-2
Adams, Phillip; Newell, Patricia	What a Joke! Collection	978-0-14-330149-3	5-6
Adams, Richard	Watership Down	978-0-06-093545-0	7-8
Adamson, Joy	Born Free	978-0-375-71438-2	7-8
Adornetto, Alexandra	The Lampo Circus	978-0-7322-8619-4	7-8
Adornetto, Alexandra	Von Gobstopper's Arcade	978-0-7322-8663-7	7-8
Adornetto, Alexandra	Hades	9780312656270	9-10
Adornetto, Alexandra	Halo	9780312656263	9-10
Adornetto, Alexandra	Heaven	9780312656287	9-10
Adornetto, Alexandra	The Shadow Thief	978-0-7322-8618-7	7-8
Agard, John	Hello New!	978-1-84121-621-8	3-4
Ahlberg, Allan	Chicken, Chips and Peas	9780670879915	EC-2
Ahlberg, Allan	Jeremiah in the Dark Woods	9780006716402	EC-2
Ahlberg, Allan	Please Mrs Butler	9780140314946	3-4
Ahlberg, Allan	The Bravest Ever Bear	9780744578645	3-4
Ahlberg, Allan; Ahlberg, Janet (ill.)	Each Peach Pear Plum	9780140509199	EC-2
Ahlberg, Allan; Ahlberg, Janet (ill.)	Peepo!	9780670871766	EC-2
Ahlberg, Allan; Ahlberg, Janet (ill.)	The Jolly Postman or Other People's Letters	9780670886241	EC-2
