Author	Book Title	Series	ISBN	Year Level
Abela, Deborah	The Stupendously Spectacular Spelling Bee		9781925324822	3-4, 5-6
Adams, Michael	Killswitch	The Seven Signs 04	9781743628041	7-8, 9-10
Adams, Michael	Crimewave	The Seven Signs 05	9781743628058	7-8, 9-10
Applegate, Katherine	Crenshaw		9780007951185	5-6
Arena, Felice	The Boy and the Spy		9780143309284	3-4, 5-6
Aveyard, Victoria	Red Queen	Red Queen 01	9780062310637	7-8, 9-10
Aveyard, Victoria	Glass Sword	Red Queen 02	9780062310668	7-8, 9-10
Aveyard, Victoria	King's Cage	Red Queen 03	9780062310712	7-8, 9-10
Bajo; Hex	Speed Zone	Pixel Raiders	9781760275679	5-6
Balchin, Lance	Aquatica		9781760404147	5-6, 7-8
Balchin, Lance	Mechanica		9781499803433	5-6, 7-8
Balla, Trace	The Thank You Dish		9781760292355	EC-2
Bancks, Tristan	My Life and Other Weaponised Muffins	My Life and Other …	9780143781066	3-4, 5-6
Bancks, Tristan	The Fall		9780143783053	5-6, 7-8
Barr, Emily	The One Memory of Flora Banks		9780141368511	9-10
Bate, Helen	Peter in Peril Courage and Hope In World War Two		9781910959572	3-4, 5-6
Bateson, Catherine	Lisette's Paris Notebook		9781760293635	9-10
Beikoff, Katrina	May Tang	A New Australian	9781742990743	5-6, 7-8
Bell, Davian; Acton, Sara (ill.)	Oh, Albert		9780670078608	EC-2
Bell, Davina; Colpoys, Allison (ill.)	Under the Love Umbrella		9781925228205	EC-2
Ben-Barak, Idan; Frost, Julian (ill.)	Do Not Lick This Book		9781760293055	3-4
Blabey, Aaron	Busting!		978174312389	EC-2
Blabey, Aaron	Intergalactic Gas	The Bad Guys: Episode 5	9781760279479	3-4
Blabey, Aaron	Pig the Elf	Pig the Pug	9787160154271	EC-2
Black, Jess	Eve and the Griffin's Gold	Keeper of the Crystals	9781925059830	3-4
Bland, Nick	The Very Sleepy Bear	The Very ... Bear	97871743812549	EC-2
Booth, Christina	The ANZAC Tree		9781760154226	5-6
Bradley, James	The Silent Invasion	The Change 01	9781743549896	9-10
Brennan, Sarah; Harrison,Harry (ill.)	The Tale of Ming Kee Monkey	Chinese Calendar Tales	9789881609861	3-4, 5-6
Brennan, Sarah; Harrison,Harry (ill.)	The Tale of Rickshaw Rooster	Chinese Calendar Tales	9789881609878	3-4, 5-6
Brennan, Sarah; Tanner, Jane (ill.)	Storm Whale		9781760293642	3-4
Brierley, Saroo	Lion: A Long Way Home (Young Readers' Edition)		9780143784760	5-6
Burke, J.C.	The Things We Promise		9781760290405	9-10
Caddy, Meg	Waer		9781922182210	9-10
Cahill, Tim	Tiny Timmy On Tour!	Tiny Timmy	9781743816509	3-4
Carthew, Mark; Tortop, Anil (ill.)	The Great Zoo Hullabaloo!		9781925059786	EC-2
Castles, Jennifer; Seden, Paul (ill.)	Say Yes : A Story of Friendship, Fairness and a Vote For Hope		9781760294670	3-4, 5-6, 7-8
Cheng, Jack	See You in the Cosmos		9780399186370	5-6, 7-8
Clare, Cassandra	Lady Midnight	The Dark Artifices 01	9781442468351	9-10
Clare, Cassandra	Lord of Shadows	The Dark Artifices 02	9781442468405	9-10
Clarke, Lorin; Vane, Mitch (ill.)	Our Last Trip to the Market		9781925266962	EC-2
Clarke, Maxine Beneba; Rudd, Van T (ill.)	The Patchwork Bike		9780734416681	3-4
Clement, Rod	Top Dog		9780732298760	EC-2
Cleverly, Sophie	The Lights Under the Lake	Scarlet and Ivy 04	9780008218331	5-6, 7-8
Coggan, Helena	The Reaction	The Wars of Angels 02	9781444794724	9-10
Collin, Chris; Kitchin, Megan (ill)	Funky Chicken: Chooks in Space	Funky Chicken 02	9780987450791	EC-2
Coote, Maree	Spellbound: Making Pictures with the A-B-C		9780992491727	3-4
Cosgrove, Matt	Attack of the Giant Robot Zombie Mermaid	Epic Fail Tales	9781743811702	5-6
Cosgrove, Matt	Snowman and the Seven Ninjas	Epic Fail Tales	9781743811696	5-6
Cossins, Jennifer	A-Z of Endangered Animals		9780734417954	5-6
Cronin, Leonard; Westmacott, Marion (ill.)	The Australian Animal Atlas		9781760294144	5-6
Crossan, Sarah	Apple and Rain		9781408853061	7-8
Crowley, Cath	Words in Deep Blue		9781101937648	9-10
Crumble, P.; Shea, Louis (ill.)	There Was an Old Lady Who Swallowed an Egg		9781743812365	3-4
Cummins, Phil; Devries, Shane (ill.)	Boy		9781760277055	EC-2
Daddo, Andrew; Bentley, Jonathan (ill.)	When I Grow Up		9780733333415	EC-2
Daddo, Andrew; King, Stephen Michael (ill.)	Whatcha Building?		9780733334153	EC-2
Do, Anh	What Do They do with all the Poo from all the Animals at the Zoo?		9781760276324	EC-2
Do, Anh	Really Weird!	WeirDo 08	9781760276768	3-4, 5-6
Do, Anh; McGuiness, Dan (ill.)	Hot Dog! Party Time	Hot Dog! 02	9781760279011	3-4
Dreise, Gregg	Kookoo Kookaburra		9781921248900	EC-2
Dreise, Gregg	Mad Magpie		9781925360066	EC-2
Dreise, Gregg	Silly Birds		9781922142993	EC-2
